font,noise_type,noise_level,accuracy
noto,"cyrillic, greek, leetspeak",0,99.3
noto,cyrillic,0.1,93.9
noto,cyrillic,0.2,88.52
noto,cyrillic,0.3,82.87
noto,cyrillic,0.4,78.52
noto,cyrillic,0.5,74.8
noto,greek,0.1,88.78
noto,greek,0.2,78.41
noto,greek,0.3,70.17
noto,greek,0.4,62.27
noto,greek,0.5,55.4
noto,leetspeak,0.1,80.05
noto,leetspeak,0.2,63.56
noto,leetspeak,0.3,50.7
noto,leetspeak,0.4,38.54
noto,leetspeak,0.5,29.33
typographer,"cyrillic, greek, leetspeak",0,96.76
typographer,cyrillic,0.1,73.18
typographer,cyrillic,0.2,54.75
typographer,cyrillic,0.3,40.77
typographer,cyrillic,0.4,28.67
typographer,cyrillic,0.5,21.15
typographer,greek,0.1,70.95
typographer,greek,0.2,51.42
typographer,greek,0.3,36.72
typographer,greek,0.4,24.65
typographer,greek,0.5,16.56
typographer,leetspeak,0.1,68.11
typographer,leetspeak,0.2,48.03
typographer,leetspeak,0.3,32.35
typographer,leetspeak,0.4,20.69
typographer,leetspeak,0.5,13.1
turok,"cyrillic, greek, leetspeak",0,98.95
turok,cyrillic,0.1,72.59
turok,cyrillic,0.2,51.86
turok,cyrillic,0.3,37.07
turok,cyrillic,0.4,25.22
turok,cyrillic,0.5,17.17
turok,greek,0.1,68.85
turok,greek,0.2,47.4
turok,greek,0.3,31.87
turok,greek,0.4,20.28
turok,greek,0.5,12.64
turok,leetspeak,0.1,90.09
turok,leetspeak,0.2,81.32
turok,leetspeak,0.3,73.6
turok,leetspeak,0.4,65.33
turok,leetspeak,0.5,57.44
mandatory,"cyrillic, greek, leetspeak",0,98.56
mandatory,cyrillic,0.1,85.26
mandatory,cyrillic,0.2,70.87
mandatory,cyrillic,0.3,57.66
mandatory,cyrillic,0.4,44.42
mandatory,cyrillic,0.5,33.97
mandatory,greek,0.1,82.92
mandatory,greek,0.2,66.4
mandatory,greek,0.3,51.73
mandatory,greek,0.4,38.06
mandatory,greek,0.5,28.06
mandatory,leetspeak,0.1,75.04
mandatory,leetspeak,0.2,56.3
mandatory,leetspeak,0.3,41.86
mandatory,leetspeak,0.4,29.24
mandatory,leetspeak,0.5,20.41
